encoderank,encodeimage,encodename,fixation
368,CFD_faces_testing/CFD-LM-206-204-N.jpg,Nolan,2.23246244454627
287,CFD_faces_testing/CFD-BM-234-172-N.jpg,Jalen,4.55184219801112
229,CFD_faces_testing/CFD-BM-020-001-N.jpg,Joey,2.43358072084554
347,CFD_faces_testing/CFD-LF-240-199-N.jpg,Karyn,3.11145737796204
325,CFD_faces_testing/CFD-LF-218-072-N.jpg,Norma,3.86717429924375
190,CFD_faces_testing/CFD-BF-232-187-N.jpg,Janet,4.99265570729411
82,CFD_faces_testing/CFD-AM-226-234-N.jpg,Omar,3.55203239973708
34,CFD_faces_testing/CFD-AF-233-190-N.jpg,Zoey,4.97153364545095
49,CFD_faces_testing/CFD-AF-248-148-N.jpg,Dina,2.67960338766752
69,CFD_faces_testing/CFD-AM-212-050-N.jpg,Sean,3.19401555926064
479,CFD_faces_testing/CFD-WF-227-002-N.jpg,Esther,4.08970606853492
594,CFD_faces_testing/CFD-WM-255-219-N.jpg,Justin,2.19392227836057
348,CFD_faces_testing/CFD-LF-241-188-N.jpg,Lauri,4.24298474713509
491,CFD_faces_testing/CFD-WF-239-155-N.jpg,Gloria,3.26120129369844
89,CFD_faces_testing/CFD-AM-233-236-N.jpg,Andy,4.43395226071407
216,CFD_faces_testing/CFD-BM-003-003-N.jpg,Hugo,3.13881585731183
408,CFD_faces_testing/CFD-LM-247-095-N.jpg,Tommy,2.95720346065035
126,CFD_faces_testing/CFD-BF-017-003-N.jpg,Paige,4.95815320017984
14,CFD_faces_testing/CFD-AF-213-126-N.jpg,Abby,4.15454271562918
392,CFD_faces_testing/CFD-LM-230-202-N.jpg,Jaime,3.23955007570969
570,CFD_faces_testing/CFD-WM-230-131-N.jpg,Sammy,2.29589071172874
101,CFD_faces_testing/CFD-AM-245-111-N.jpg,Saul,4.20367737549923
125,CFD_faces_testing/CFD-BF-016-017-N.jpg,Faith,3.91191887106045
444,CFD_faces_testing/CFD-WF-031-027-N.jpg,Jordyn,2.2215256302082
